s,w,prezzo,metri.quadrati,numero.bagni,ascensore,numero.stanze,altre.caratteristiche,numero.totale.piani.edificio,parcheggio,disponibile,spese.condominiali,anno.di. Costruzione,condizioni,zona,piano,riscaldamento.centralizzato,classe.di.efficienza.energetica
0,1,1125000,135,2,sì,3,fibra ottica | porta di sicurezza | terrazza |portinaio tutto il giorno | cantina,7,no,disponibile,417,NA,eccellente / restaurato,quadronno - crocetta,2,centralizzato,g
0,1,500000,57,1,sì,2,fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione esterna | guardaroba |portinaio mezza giornata | sistema televisivo centralizzato | parzialmente arredato|infissi esterni in doppio vetro / pvc,7,1 in garage/box,disponibile,nessun costo condominiale,2010,eccellente / restaurato,porta romana - medaglie d'oro,1,centralizzato,e
0,1,395000,92,1,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione interna | guardaroba | terrazza |portinaio mezza giornata |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,8,no,disponibile,200,1960,eccellente / restaurato,gallaratese,1,centralizzato,e
0,1,340000,63,1,no,2,fibra ottica | videocitofono | porta di sicurezza |portinaio tutto il giorno |infissi esterni in doppio vetro / pvc,8,no,NA,208,NA,eccellente / restaurato,martini - insubria,soppalco,centralizzato,f
0,1,199000,38,1,no,1,fibra ottica | porta di sicurezza | esposizione interna | sistema televisivo centralizzato |arredato| cantina |infissi esterni in doppio vetro / pvc,4,no,disponibile,80,1930,eccellente / restaurato,navigli - darsena,1,indipendente,g
0,1,299000,45,1,no,1,cancello elettrico | fibra ottica | porta di sicurezza | esposizione interna | sistema televisivo centralizzato |arredato| cantina | infissi in vetro/ legno,5,no,disponibile,100,1911,buone condizioni /vivibile,porta romana - medaglie d'oro,1,centralizzato,g
0,1,145000,60,1,no,2,fibra ottica | porta di sicurezza | esposizione esterna | terrazza | sistema televisivo centralizzato |arredato|infissi esterni in doppio vetro / pvc,6,no,NA,167,1950,buone condizioni /vivibile,giambellino,5,centralizzato,g
0,1,1400000,230,3,sì,5+,cancello elettrico | porta di sicurezza | guardaroba | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina | infissi in vetro/ metallo | doppia esposizione,6,no,disponibile,600,1970,da restaurare,morgagni,1,centralizzato,NA
0,1,590000,50,1,no,2,cancello elettrico | fibra ottica | sistema d'allarme | porta di sicurezza | esposizione interna | guardaroba | sistema televisivo centralizzato |arredato|infissi esterni in doppio vetro / pvc,3,no,disponibile,200,1900,eccellente / restaurato,ticinese,2,indipendente,NA
0,1,1290000,170,2,sì,4,porta di sicurezza | terrazza | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina | infissi in vetro/ legno | doppia esposizione,6,no,disponibile,500,1970,buone condizioni /vivibile,de angeli,6,centralizzato,g
0,1,419000,66,1,sì,2,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione interna | guardaroba |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| giardino condiviso |infissi esterni in doppio vetro / metallo,8,no,disponibile,100,1970,nuovo / in costruzione,palestro,seminterrato,indipendente,b
0,1,220000,60,2,sì,2,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione esterna | guardaroba | sistema televisivo centralizzato |arredato|infissi esterni in doppio vetro / pvc,3,no,disponibile,60,1940,eccellente / restaurato,cermenate - abbiategrasso,piano terra,indipendente,e
0,1,199000,60,1,no,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna | guardaroba | terrazza | sistema televisivo centralizzato |arredato|infissi esterni in doppio vetro / metallo,1 piano,no,disponibile,150,1940,buone condizioni /vivibile,vigentino - fatima,1,centralizzato,g
0,1,350000,70,1,NA,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc | doppia esposizione,4,no,disponibile,200,1960,eccellente / restaurato,rovereto,soppalco,centralizzato,g
0,1,1050000,85,2,sì,2,idromassaggio,4,no,disponibile dal 01/04/2024,250,1900,buone condizioni /vivibile,brera,3,indipendente,g
